Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
Euphoria Blush Calvin Kleinfor women,for women,3.56,138,"['fruity', 'sweet', 'rose', 'citrus', 'floral', 'patchouli', 'woody', 'white floral', 'warm spicy']","['Jean-Marc Chaillan', 'Yves Cassar']","Euphoria BlushbyCalvin Kleinis a Floral Fruity fragrance for women.Euphoria Blushwas launched in 2020. Euphoria Blush was created by Jean-Marc Chaillan and Yves Cassar. Top notes are Raspberry, Mandarin Orange, Blackberry and Pink Pepper; middle notes are Rose, Orchid and Jasmine; base notes are Patchouli, Cashmere Wood, Chocolate and White Amber."
Euphoria Crystalline Calvin Kleinfor women,for women,4.08,103,"['woody', 'floral', 'amber', 'sweet', 'fruity', 'powdery', 'fresh spicy', 'sour']",['Coty'],Euphoria CrystallinebyCalvin Kleinis a Floral fragrance for women.Euphoria Crystallinewas launched in 2007. The nose behind this fragrance is Coty.
Euphoria Essence Calvin Kleinfor women,for women,3.82,198,"['fruity', 'sweet', 'white floral', 'floral', 'woody', 'rose']","['Jean-Marc Chaillan', 'Yves Cassar']","Euphoria EssencebyCalvin Kleinis a Floral Fruity fragrance for women.Euphoria Essencewas launched in 2015. Euphoria Essence was created by Yves Cassar and Jean-Marc Chaillan. Top notes are Blackberry, Raspberry and Pink Pepper; middle notes are Orchid, Jasmine and Lily-of-the-Valley; base notes are White Chocolate, Patchouli and Cashmere Wood."
Euphoria Essence Men Calvin Kleinfor men,for men,4.14,111,"['fresh spicy', 'woody', 'amber', 'green', 'white floral', 'fresh', 'leather', 'citrus', 'powdery', 'warm spicy']",['Jean-Marc Chaillan'],"Euphoria Essence MenbyCalvin Kleinis a Amber fragrance for men.Euphoria Essence Menwas launched in 2015. The nose behind this fragrance is Jean-Marc Chaillan. Top notes are Ivy and Bergamot; middle notes are White Pepper, Suede and Jasmine; base notes are Guaiac Wood, Amber and Tonka Bean."
Euphoria Men Intense Calvin Kleinfor men,for men,4.06,"1,883","['amber', 'warm spicy', 'fresh spicy', 'woody', 'aromatic', 'oud', 'patchouli', 'herbal', 'balsamic']","['Carlos Benaim', 'Loc Dong']","Euphoria Men IntensebyCalvin Kleinis a Amber Woody fragrance for men.Euphoria Men Intensewas launched in 2008. Euphoria Men Intense was created by Carlos Benaim and Loc Dong. Top notes are Ginger and Pepper; middle notes are Black Basil, Cedar, Sage and Vetiver; base notes are Amber, Agarwood (Oud), Patchouli, Myrrh and Labdanum."
Euphoria Spring Temptation Calvin Kleinfor women,for women,3.84,214,"['fruity', 'aquatic', 'fresh', 'floral', 'powdery', 'white floral', 'tropical', 'violet', 'woody', 'musky']","['Carlos Benaim', 'Loc Dong']","Euphoria Spring TemptationbyCalvin Kleinis a Floral fragrance for women.Euphoria Spring Temptationwas launched in 2009. Euphoria Spring Temptation was created by Carlos Benaim and Loc Dong. Top notes are Guava, Water Notes and Pear; middle notes are Lily, Freesia and Violet; base notes are Musk, Sandalwood and Amber."
My Euphoria Calvin Kleinfor women,for women,3.6,217,"['woody', 'fruity', 'floral', 'powdery', 'soft spicy', 'aromatic', 'oud', 'tuberose', 'sweet', 'white floral']","['Frank Voelkl', 'Nathalie Lorson']","My EuphoriabyCalvin Kleinis a Amber Floral fragrance for women. This is a new fragrance.My Euphoriawas launched in 2023. My Euphoria was created by Frank Voelkl and Nathalie Lorson. Top note is Black Currant; middle notes are Orchid, Sesame and Tuberose; base notes are Sandalwood, Agarwood (Oud) and Bamboo."
Obsessed for Men Calvin Kleinfor men,for men,3.68,574,"['amber', 'citrus', 'woody', 'warm spicy', 'fresh spicy', 'aromatic', 'vanilla', 'musky', 'leather', 'sweet']","['Christophe Raynaud', 'Ilias Ermenidis']","Obsessed for MenbyCalvin Kleinis a Amber Woody fragrance for men.Obsessed for Menwas launched in 2017. Obsessed for Men was created by Ilias Ermenidis and Christophe Raynaud. Top notes are Sichuan Pepper, Grapefruit, Cardamom, Lavender and Lemon; middle notes are Leather, Cedar, Labdanum, Pineapple and Geranium; base notes are Ambroxan, Black Vanilla Husk, Cinnamon, Patchouli and Amberwood."
Obsessed for Women Calvin Kleinfor women,for women,3.69,"1,437","['aromatic', 'musky', 'citrus', 'lavender', 'herbal', 'fresh spicy', 'floral', 'white floral', 'powdery', 'fresh']","['Annick Menardo', 'Honorine Blanc']","Obsessed for WomenbyCalvin Kleinis a Aromatic fragrance for women.Obsessed for Womenwas launched in 2017. Obsessed for Women was created by Honorine Blanc and Annick Menardo. Top notes are Citruses, elemi, Neroli and Bergamot; middle notes are Lavender, Sage, Violet Leaf, Orange Blossom, Lily-of-the-Valley and Rose; base notes are Musk, Ambrette (Musk Mallow) and Iso E Super."
Obsession Calvin Kleinfor women,for women,3.72,"9,084","['amber', 'warm spicy', 'woody', 'powdery', 'aromatic', 'musky', 'animalic', 'vanilla', 'smoky', 'balsamic']",['Jean Guichard'],"ObsessionbyCalvin Kleinis a Amber Spicy fragrance for women.Obsessionwas launched in 1985. The nose behind this fragrance is Jean Guichard. Top notes are Vanilla, Basil, Bergamot, Mandarin Orange, Green Notes, Peach and Lemon; middle notes are Spices, Sandalwood, Coriander, Oakmoss, Cedar, Orange Blossom, Jasmine and Rose; base notes are Amber, Incense, Vanilla, Civet, Musk and Vetiver."
